"id"	"S12K_1"	"S3M_1"	"SMS_1"	"S3S_1"	"STS_1"	"S3T_1"	"SKM_1"	"SLT_1"	"S3L_1"	"S12K_2"	"S3M_2"	"SMS_2"	"S3S_2"	"STS_2"	"S3T_2"	"SKM_2"	"SLT_2"	"S3L_2"	"S12K_3"	"S3M_3"	"SMS_3"	"S3S_3"	"STS_3"	"S3T_3"	"SKM_3"	"SLT_3"	"S3L_3"
"ASV2_Synedra_ulna_Bacillariophyceae"	62.2548600340458	64.9160833565442	37.8702004193887	7.14635622817229	41.45720243929	49.7073256607178	21.4913201646948	19.0482313732136	22.8373747714808	0.530228574874857	0.364494790731094	0.148701655770758	0.986776241063673	60.097523543774	27.9799850459304	35.6577051169689	25.0692263479312	19.5435334679157	8.85302052785924	6.28556720329465	5.90720920458128	7.54460190790681	42.3746031746032	162.574422168705	129.675647636205	100.070625079893	57.5243130200135
"ASV5_Dinobryon_sociale_Chrysophyceae"	0.11683374314356	0	0.0653847084442294	2.25247962747381	0	0	0.18410798978475	0.0659023894255211	0.0797513711151737	90.3805795790363	37.2048176755883	24.8573837600049	98.4958495356451	226.428043250785	95.577845332194	119.934316726219	55.2323771268084	58.7858974300814	6.50143695014663	14.7286128790715	3.44822738257854	5.73389745000917	10.2693553611921	11.2746629969036	6.44477045412189	5.83615620605906	4.08082190240612
"ASV7_Cryptomonas_Cryptophyceae"	8.09949924342727	2.55388549869597	0.356502338898298	0.236591385331781	1.34000980071872	1.41848029399467	1.36765935268671	1.31804778851042	1.0253747714808	62.6839340208673	21.6149802407041	12.611975316185	37.5494327520545	116.173369375654	99.8584486220893	79.3609559765388	80.5018013781392	67.8767464331889	0.405104733975702	0.611568700861101	1.38494378480614	0.759663364520272	1.09642741450322	3.01094048103087	1.21717214387774	1.85200690272274	3.04424949404093
"ASV8_Gyrodinium_helveticum_Dinophyceae"	11.7651579345565	4.08884966956169	2.1888309541092	11.3045308498254	5.00685832516607	3.64544594326959	5.77638817949653	2.59216065073716	2.55204387568556	35.3537699776853	11.6792035656548	5.98956436732449	13.8148673748914	63.1327520055807	35.5156304208502	30.0507854109081	38.9941027399497	25.1700641912582	13.3783368244659	19.5532104080869	18.7674014920668	16.3587782058338	36.2438752371697	26.9184624526945	17.8674628812822	17.6485363671226	20.0331257027209
"ASV9_Aulacoseira_islandica_Coscinodiscophyceae"	0.584168715717798	2.89352594130605	2.39899608839423	0.32085681024447	4.72639115757378	13.82897255903	1.6273831239902	2.38713099474665	1.14500182815356	8.48365719799771	4.91628817136698	1.7671289790432	3.25895837509187	69.2032089291943	37.0316774193548	56.2228112991303	85.7291910780183	56.5639553609908	6.99546711353163	1.44398165481093	3.56128401807292	11.8528297560081	44.7218844000185	84.9936133612736	1.99741069764552	4.84011888022498	0.774701484146616
"ASV11_Nannochloropsis_limnetica_Eustigmatoph."	2.96465623226783	1.27694274934799	1.994233607549	40.3890663562282	4.50825002722422	5.72959531721057	2.63340178245687	1.29119866689262	1.54945521023766	9.37256980881732	3.3221723998563	1.98845237367874	6.27122268991782	30.4281653296128	17.1224131595813	10.6569877974786	8.5640214232063	4.27664118674439	15.9966966904064	15.8158461250468	14.1320794367973	12.7269629425793	45.8028691748808	57.0769586838895	8.91032428402808	13.3064361498146	8.51080503710366
"ASV12_Stephanodiscus_Mediophyceae"	0	0.14480794064771	0	0	0	0	0	0.236760436084279	0	0	0.344733024968565	0.204032504429645	0.792017772432685	130.21130101151	53.6190151676992	117.879726285984	245.954246432187	197.119710118629	0	0	0	0	0	1.01455603165171	0.452538361185314	0	0
"ASV13_Cryptomonas_Cryptophyceae"	1.6444349347456	1.13740055199656	0.375183684168078	0.17825378346915	4.46669933572906	2.39398807297053	3.3731213842706	1.76227870982319	1.57793784277879	8.91251854532296	3.8513485719418	1.85358343007271	6.45299726064007	13.8102895012208	10.2556120487075	5.97175352255107	6.80672871558734	6.76139360809309	34.6611562630917	26.8580587794833	64.8097162971525	65.7993349844065	36.2747605164515	45.1968348293873	18.3356060135429	15.6253355490221	10.889465932089
"ASV14_Cryptophyceae"	7.10349158312843	8.36989896943762	9.80614948786192	1.23157159487776	10.6058140041381	9.63646766278635	5.23721478084119	3.79548946506242	4.36353930530164	0.343089077860201	0.169072884857194	0.114119875358954	0.142822876996058	6.98102546215556	5.17239564195685	8.71760803613564	11.9006531465334	5.6623684986504	0.760806451612903	2.56519093972295	1.69584953241568	1.51932672904054	2.65613401823314	16.6256278735183	12.2029309809281	15.5942093825898	19.9240128176299
"ASV16_Chrysophyceae"	11.5519363533195	7.35887625655179	11.0110962577627	1.20888474970896	5.26655014701078	2.76192152806813	6.71336634179392	1.85503022086652	4.77938574040219	1.75443278451239	0.606027483384229	0.373483228447486	1.32435758669072	4.32520055807464	3.07668361461226	2.45782781635542	4.89372652754646	2.69977907319618	2.99382279011311	0.747472856608012	3.78739728906168	1.90436158503027	6.67122032486464	5.1218715791449	10.1431011989812	17.9597980314457	18.4946340229368
"ASV18_Luciella_Dinophyceae"	2.51776716474371	1.66397488162459	1.40888478909589	3.05300116414435	3.22017859087444	3.7979446779482	2.36710272580393	2.08690899847484	1.87985374771481	7.51676979675532	2.00252559726962	0.964831673489338	3.97307276007216	35.436292291594	42.4716107669301	20.9683435582822	23.1339799484014	18.1219683807018	7.70687054880603	6.42147135904156	4.77664284963749	5.55698954320308	7.61322134295895	13.8437806899572	5.25880785239486	7.67260002556564	9.00181302001349
