"id"	"S12K_1"	"S3M_1"	"SMS_1"	"S3S_1"	"STS_1"	"S3T_1"	"SKM_1"	"SLT_1"	"S3L_1"	"S12K_2"	"S3M_2"	"SMS_2"	"S3S_2"	"STS_2"	"S3T_2"	"SKM_2"	"SLT_2"	"S3L_2"	"S12K_3"	"S3M_3"	"SMS_3"	"S3S_3"	"STS_3"	"S3T_3"	"SKM_3"	"SLT_3"	"S3L_3"	"Class"
"ASV2_Synedra_ulna_Bacillariophyceae"	108.881726223349	98.7078445011206	10.0837974015748	66.6037531433361	70.807237086408	63.0653977483321	72.9923815062518	49.0150344488189	56.24	19.6152325581395	1.35698412698413	1.23553333333333	8.31417647058823	42.0670457354759	26.6934646194927	8.55482038834951	13.2339168665068	16.0116169074371	42.2993960923623	29.4105421686747	44.9571643017177	55.4684187911773	351.440290429043	849.46562257564	701.716486926206	593.284908513534	487.874907087771	"Bacillariophyceae"
"ASV31_Synedra_ulna_Bacillariophyceae"	3.96927377665113	4.89215549887936	0.445202598425197	2.35605113160101	3.725762913592	3.2216022516679	3.80761849374818	2.0349655511811	2.96	0	0	0	0	0	0.914596795727637	0.363936893203883	0.52841726618705	0.626371321562333	3.35184946714032	0	0	0	12.6795148514852	31.8923681148177	24.9105130737943	16.8850914864661	11.9377585383768	"Bacillariophyceae"
"ASV32_Nitzschia_draveillensis_Bacillariophyceae"	0	0	0	0.845761944677284	0	0	0	0	0	15.5768023255814	0.784761904761905	0.488466666666667	0.984573529411765	0.902954264524104	1.97808144192256	0.368543689320388	0.927665867306155	1.36040021401819	98.9503730017762	59.0595481927711	187.78758103062	164.492552277284	12.1672112211221	0.342009309542281	0	0	4.16433437385237	"Bacillariophyceae"
"ASV54_Fragilaria_vaucheriae_Bacillariophyceae"	0	0	0	2.26543378038558	0	0	0	0	0	14.4229651162791	0.433253968253968	0	5.57925	0	2.27585714285714	0.202699029126214	0	0.293611556982343	68.0283814387211	17.0899096385542	55.2822546676624	47.1290289315382	11.7829834983498	0	0	0	0	"Bacillariophyceae"
"ASV11_Nannochloropsis_limnetica_Eustigmatoph."	2.27054913294798	6.05139312977099	5.315	5.72059134836631	1.954	1.28965456821026	0.987257731958763	0.366447602131439	0.25393006993007	4.74575200583516	0.757796116504854	0.433895705521472	0.479422222222222	1.77572453703704	1.26837684449489	0.208640416047548	0.677362030905077	0.705565022421525	4.41813220133414	12.8195287958115	7.19111969111969	4.60299687010955	5.88369381107492	12.1809312638581	3.62074503311258	6.1875	3.71027027027027	"Chlorophyceae"
"ASV57_Chlamydomonadales_Chlorophyceae"	1.21245086705202	0.486606870229008	0	0.264408651633686	0	0.0163454317897372	0.0887422680412371	0.0235523978685613	0.0130699300699301	0.667247994164843	0.119203883495146	0.0581042944785276	0.0565777777777778	0.137275462962963	0.186623155505108	0.0443595839524517	0.119637969094923	0.173434977578475	0.0818677986658581	0.330471204188482	0.258880308880309	0.207003129890454	0.206306188925081	0.419068736141907	0.209254966887417	0.4125	0.68972972972973	"Chlorophyceae"
"ASV5_Dinobryon_sociale_Chrysophyceae"	0.0076732078494193	0	0.00588656786089392	1.16950507614213	0	0	0.423900666262871	0.0665826819001804	0.254486229819563	282.870928222473	134.638037193055	67.4409365119197	223.337407706422	529.979098265896	278.112404353467	213.037621657024	89.695461732852	143.835275221953	1.62440071556351	2.41376409366869	0.861176470588235	0.927154037709	4.50304538216561	10.2533362598771	0.997955390334573	3.28635717669351	1.87065868263473	"Chrysophyceae"
"ASV16_Chrysophyceae"	0.758688426111334	0.519806892453951	0.991326059050064	0.627662436548224	11.7270459770115	0.488816234498309	15.4572350090854	1.8741791942273	15.2509962013295	5.49098083427283	2.19311250385287	1.01330288582183	3.00295486238532	10.1235953757225	8.95253366008361	4.36580460648401	7.94724187725632	6.60572489334717	0.748014311270125	0.122497831743278	0.945882352941177	0.307929562433298	2.92528662420382	4.65790166812994	1.57063197026022	10.1132164850782	8.47798520605847	"Chrysophyceae"
"ASV22_Chrysophyceae"	0.0836379655586704	0.028640522875817	0.0165384525615591	0.0454340101522843	1.13338314176245	0.0685456595264938	0.832662023016354	0.369903788334336	1.14518803418803	1.48866591506952	1.49385924175485	0.440974404015056	2.38469944954128	90.0467167630058	80.4430560761136	55.1523910053488	52.3795487364621	50.2152007379223	0.306118067978533	0.0668169991326973	0.24	0.398794023479189	2.18042197452229	3.1846356453029	0.125650557620818	0.13145428706774	0.39513913349771	"Chrysophyceae"
"ASV29_Spumella_Chrysophyceae"	0.0368313976772127	0.0122745098039216	0.0361603454312055	0.346644670050761	1.22590421455939	0.139233370913191	1.61233646274985	0.355107636800962	0.654393162393162	9.44448703494927	4.93450313366896	1.36983538268507	3.17959926605505	22.7336878612717	24.4572839844313	8.79982490994433	10.5842812274368	10.6977668626773	1.24175313059034	0.654249783174328	3.22588235294118	0.874991106367841	2.97268710191083	5.50614574187884	0.229553903345725	0.972761724301279	0.760267699894329	"Chrysophyceae"
"ASV30_Paraphysomonadales_Chrysophyceae"	0.0458474169002803	0.0297563874034462	0.0573239584548956	0.412271573604061	1.75790038314176	0.140518602029312	1.87727437916414	0.446350571256765	0.436262108262108	9.34686959789553	5.34769824309052	1.88586925972397	3.03239559633028	21.8456531791907	26.2088666570564	14.2911885165375	13.4741873646209	12.4807280064568	0.62211091234347	0.645897658282741	2.55529411764706	0.795905371753824	1.23918391719745	2.18757682177349	0.19814126394052	0.911416390336333	0.475167312433956	"Chrysophyceae"
